Screen Size (In.),RAM (GB),Weight (Kg),ManufacturerLabel,CategoryLabel,ScreenLabel,CPULabel,StorageLabel,GPULabel
15.6,4,1.86,6,4,1,23,6,22
17.3,8,2.7,3,2,10,43,11,41
13.3,4,1.4,4,5,10,34,10,4
12.5,4,2.4,6,3,1,27,1,22
15.6,8,2.4,1,4,6,30,11,43
15.6,8,2.36,4,4,6,30,6,14
17.3,8,2.6,8,2,6,38,10,47
15.6,4,1.96,6,4,1,48,6,18
17.3,16,4.3,3,2,10,38,2,50
12.5,4,1.5,4,5,1,24,17,22
12.5,4,1.5,4,5,1,24,1,22
15.6,4,2.2,1,4,1,12,4,16
17.3,8,3.0,6,6,10,38,6,2
15.6,16,2.4,7,2,6,43,19,39
12.5,8,1.5,4,5,1,27,10,22
17.3,8,2.9,8,2,6,38,2,46
15.6,4,2.1,7,1,9,27,10,22
15.6,4,2.1,6,4,6,3,6,6
15.6,16,2.59,3,2,10,38,2,46
13.3,8,1.16,6,4,17,20,10,21
15.6,4,2.24,4,4,1,27,17,9
15.6,4,2.1,7,4,1,22,1,22
13.3,8,1.16,6,5,6,36,19,22
10.1,4,0.69,7,1,14,11,22,17
13.3,8,1.23,4,5,6,42,10,28
17.3,16,4.6,7,2,10,39,12,50
12.5,8,1.25,9,5,19,36,10,22
13.3,16,1.05,11,5,6,41,19,26
17.3,8,3.52,3,2,6,38,2,46
13.3,4,1.35,12,4,6,10,15,17
13.3,8,1.16,6,4,6,27,10,22
14.0,8,1.43,6,4,6,27,10,22
15.6,4,2.09,4,4,1,27,17,22
15.6,4,2.0,3,4,1,25,6,26
14.0,8,1.8,7,1,9,36,10,22
10.1,4,0.69,7,1,14,11,22,17
12.5,8,1.26,6,5,1,29,10,22
15.6,8,2.4,7,2,10,32,2,41
17.3,8,3.35,6,2,10,28,2,41
15.6,8,2.04,6,4,1,41,14,26
14.0,8,1.8,7,1,9,37,19,54
14.0,4,1.5,3,4,1,15,15,19
15.6,8,1.84,6,5,6,41,10,26
15.6,4,2.23,1,4,6,30,6,35
15.6,16,2.5,7,4,6,36,7,12
17.3,8,3.0,6,6,10,38,10,53
15.6,8,2.5,4,4,1,30,6,14
17.3,16,3.78,8,2,6,40,11,50
15.6,8,1.88,6,5,6,36,10,22
14.0,16,2.8,7,1,16,37,19,22
15.6,8,2.4,8,2,6,43,2,38
13.3,8,1.48,6,1,5,29,10,22
15.6,8,2.59,6,6,10,38,10,52
13.3,8,1.48,6,1,21,37,10,22
15.6,8,2.0,6,6,6,38,10,52
12.5,8,1.26,6,5,6,35,10,22
15.6,8,2.18,4,4,6,41,10,35
15.6,8,1.88,6,4,6,27,10,22
14.0,8,1.27,7,1,16,36,10,22
15.6,4,1.9,7,4,1,22,6,22
15.6,4,1.86,6,4,1,8,17,5
15.6,8,2.32,7,4,6,27,6,10
15.6,8,2.62,4,2,6,43,6,40
15.6,8,2.04,4,4,13,28,10,36
15.6,4,1.91,6,4,6,4,10,3
17.3,16,2.7,8,2,6,43,11,39
14.0,12,1.4,7,5,6,37,19,22
15.6,8,2.5,7,4,6,27,7,10
13.3,8,1.48,6,1,21,37,19,22
14.0,8,1.7,7,5,6,37,10,22
14.0,16,1.7,8,2,6,38,11,48
15.6,8,2.62,6,2,10,43,6,38
15.6,8,2.2,7,4,1,22,6,22
15.6,4,2.1,6,4,1,27,17,22
15.6,8,2.62,4,2,4,43,2,39
15.6,8,1.95,7,4,10,30,10,26
15.6,4,2.2,7,4,6,23,6,32
14.0,2,1.44,6,4,1,14,15,17
15.6,8,2.2,8,2,10,41,6,38
15.6,8,1.96,6,4,6,36,10,22
15.6,16,2.1,6,4,6,45,19,29
15.6,4,2.2,3,4,1,13,17,16
15.6,4,2.1,7,4,1,27,17,22
15.6,8,2.2,7,4,6,41,6,35
14.0,4,2.0,3,4,6,25,10,26
15.6,4,2.32,7,4,6,36,7,22
15.6,16,3.31,7,2,10,38,19,44
15.6,16,1.91,8,2,6,38,2,48
15.6,4,2.07,6,4,1,24,17,22
14.0,8,1.36,7,1,16,27,10,22
15.6,6,1.54,7,5,6,41,10,30
15.6,8,1.98,4,4,6,41,10,37
15.6,4,2.1,1,4,1,16,17,19
15.6,6,2.18,6,4,10,38,6,46
15.6,8,2.591,3,2,10,38,11,46
15.6,16,2.09,4,1,5,41,19,26
15.6,4,2.23,1,4,6,30,10,35
13.3,8,1.23,4,5,17,29,10,22
17.3,16,4.2,1,2,10,43,11,42
15.6,8,2.4,7,2,10,32,6,38
12.3,4,1.15,10,1,15,50,15,15
15.6,4,1.86,6,4,1,30,17,26
12.0,8,0.92,2,5,12,17,9,23
13.3,8,1.6,4,1,9,30,10,26
15.6,12,2.21,6,4,10,43,2,38
15.6,4,1.9,7,4,1,23,6,11
17.3,16,4.3,3,2,10,38,20,50
15.6,4,2.1,1,4,1,16,6,19
17.3,16,2.43,8,2,6,43,11,41
15.6,4,2.3,4,4,1,22,1,13
15.6,8,2.2,7,4,1,36,17,31
15.6,16,2.0,4,1,5,45,19,29
13.3,16,1.2,4,5,17,41,19,26
15.6,8,2.2,3,2,6,38,6,41
15.6,8,2.36,4,4,6,30,10,14
15.6,8,1.91,6,4,1,30,10,26
15.6,4,2.2,7,4,1,9,17,5
17.3,8,3.3,1,4,2,22,6,35
15.6,16,2.2,3,2,6,43,11,42
12.0,8,0.92,2,5,12,18,18,21
15.6,16,2.2,3,4,6,43,2,41
17.3,16,2.43,8,2,10,38,11,41
15.6,8,2.191,4,1,9,30,10,26
17.3,16,2.9,3,2,6,43,11,41
11.6,2,1.3,1,3,1,12,16,16
17.3,4,3.3,1,4,2,23,6,35
17.3,8,2.8,7,4,2,30,6,26
15.6,8,2.6,7,2,10,38,2,45
14.0,8,1.2,1,1,9,44,10,25
15.6,8,2.3,7,4,10,37,10,22
15.6,8,2.2,8,2,6,38,2,41
15.6,6,2.1,6,4,6,1,6,4
12.5,8,1.26,4,5,5,29,10,22
15.0,4,2.08,4,1,5,25,17,26
15.6,4,2.65,3,4,1,48,6,18
13.3,8,1.29,4,5,17,41,10,26
15.6,4,2.18,4,4,1,30,6,22
15.6,16,2.6,7,2,9,38,2,46
15.6,8,2.2,8,2,6,43,2,38
12.5,16,1.3,7,3,9,35,19,22
14.0,16,1.95,9,2,6,43,8,41
15.6,8,2.3,4,4,20,25,6,26
17.3,16,2.7,8,2,6,43,11,41
11.6,4,1.08,2,5,1,26,9,24
15.6,4,2.1,6,4,6,23,6,22
14.0,8,1.54,6,5,3,36,10,22
15.6,4,2.24,4,4,1,27,17,22
15.6,8,2.3,8,2,6,38,2,46
13.3,16,1.4,7,4,10,41,19,26
15.6,6,2.2,7,4,6,2,10,4
13.3,8,1.45,3,5,6,36,10,22
15.6,4,2.4,1,4,1,22,17,22
17.3,16,2.77,4,1,5,41,19,35
14.0,4,1.54,6,4,6,27,10,22
15.6,16,2.5,3,2,10,43,11,39
14.0,4,1.6,4,4,1,30,17,26
15.6,16,2.34,3,2,10,38,11,42
15.6,8,2.3,7,4,10,30,10,26
13.3,8,1.24,4,1,17,33,10,25
15.6,4,2.2,4,4,1,48,17,16
15.6,4,1.86,6,4,1,3,17,7
15.6,6,2.4,7,4,6,24,1,31
14.0,8,1.9,7,4,10,27,10,22
15.6,4,2.2,4,4,1,47,17,16
15.6,4,2.0,3,4,1,15,6,19
17.3,16,4.0,3,2,10,38,2,48
15.6,4,2.29,4,4,1,23,17,22
15.6,8,2.32,7,4,6,36,7,10
15.6,8,2.4,8,2,6,38,2,46
14.0,4,1.8,7,1,5,27,1,22
13.3,8,1.2,3,5,10,19,19,21
15.6,6,2.3,4,4,1,25,6,26
15.6,4,2.4,1,4,1,14,17,17
15.6,2,2.2,4,4,1,13,17,16
15.6,8,2.6,7,4,10,38,6,46
15.6,6,2.04,6,4,6,6,7,13
15.6,8,2.3,4,4,1,41,6,11
11.6,2,1.17,6,3,1,14,15,17
15.6,4,2.2,3,4,1,36,17,30
14.0,4,1.8,7,1,9,36,1,22
13.3,16,1.3,7,1,11,36,19,22
14.0,2,1.5,7,4,1,13,22,16
15.6,6,2.19,6,4,1,36,6,10
15.6,4,2.2,3,4,1,13,17,16
13.3,8,1.2,3,5,10,19,19,21
15.6,6,2.3,4,4,1,25,6,26
15.6,4,2.4,1,4,1,14,17,17
15.6,2,2.2,4,4,1,13,17,16
15.6,8,2.6,7,4,10,38,6,46
15.6,6,2.04,6,4,6,6,7,13
15.6,8,2.3,4,4,1,41,6,11
11.6,2,1.17,6,3,1,14,15,17
15.6,4,2.2,3,4,1,36,17,30
14.0,4,1.8,7,1,9,36,1,22
13.3,16,1.3,7,1,11,36,19,22
14.0,2,1.5,7,4,1,13,22,16
15.6,6,2.19,6,4,1,36,6,10
15.6,4,2.2,3,4,1,13,17,16
13.3,8,1.2,3,5,10,19,19,21
15.6,6,2.3,4,4,1,25,6,26
15.6,4,2.4,1,4,1,14,17,17
15.6,2,2.2,4,4,1,13,17,16
15.6,8,2.6,7,4,10,38,6,46
15.6,6,2.04,6,4,6,6,7,13
15.6,8,2.3,4,4,1,41,6,11
11.6,2,1.17,6,3,1,14,15,17
15.6,4,2.2,3,4,1,36,17,30
14.0,4,1.8,7,1,9,36,1,22
13.3,16,1.3,7,1,11,36,19,22
14.0,2,1.5,7,4,1,13,22,16
15.6,6,2.19,6,4,1,36,6,10
15.6,4,2.2,3,4,1,13,17,16
