CPU,RAM (GB),Storage,GPU,Price (Sonic Rings),CPULabel,StorageLabel,GPULabel
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,11915280.0,68,16,48
Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,5859828.0,68,16,66
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3689290.8,50,9,42
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,10608156.0,89,16,66
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,11550708.0,94,17,69
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,13160160.0,89,16,48
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,11221704.0,98,17,90
Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,12262068.0,90,16,52
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,12439908.0,68,16,48
Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,6420024.0,76,25,55
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,14485068.0,76,16,55
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,12439819.08,76,16,55
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,9638928.0,98,28,55
Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,10050894.36,98,17,66
Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX,5015088.0,50,9,60
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 940MX,9941256.0,98,16,66
Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,4259268.0,53,9,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,19931418.0,94,19,73
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,5593068.0,68,16,66
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 930MX ,11301732.0,98,28,64
AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,4010292.0,14,16,16
Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,2303028.0,34,25,36
Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,7220304.0,76,9,55
AMD E-Series 6110 1.5GHz,4,64GB SSD,AMD Radeon R2,2471887.08,16,35,11
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,12413232.0,98,19,6
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,8251776.0,76,16,55
Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,5681899.08,68,9,26
Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,3992508.0,50,9,21
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,7860528.0,98,16,55
Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,5086224.0,54,16,89
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Intel HD Graphics 620,5317416.0,89,9,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,8785296.0,98,16,55
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,2243985.12,35,9,38
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,8340696.0,70,4,68
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,4437108.0,68,9,60
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,6215508.0,68,16,48
Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,5824260.0,54,9,89
Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon RX 550,9923649.84,76,16,31
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050M,7727148.0,94,16,70
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,5352984.0,62,25,42
AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,3281148.0,9,16,15
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,9772308.0,98,16,55
Intel Core M 6Y75 1.2GHz,8,512GB SSD,Intel HD Graphics 515,17908488.0,41,28,41
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,3058848.0,35,9,38
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,18041868.0,94,17,73
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3974724.0,50,9,42
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,11108419.92,94,28,68
Intel Core i7 7700HQ 2.8GHz,8,1TB Hybrid,Nvidia GeForce GTX 1050,7993908.0,94,11,68
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,4428216.0,68,3,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,16805880.0,94,17,72
Intel Core i5 7500U 2.7GHz,4,256GB SSD,Intel HD Graphics 620,9621144.0,73,16,48
Intel Core i5 8250U 1.6GHz,6,256GB SSD,AMD Radeon 520,5504148.0,76,16,5
Intel Core i3 7100U 2.4GHz,4,256GB SSD,Intel HD Graphics 620,5593068.0,53,16,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,11692980.0,76,16,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,9327708.0,98,16,55
Intel Core i3 6006U 2.2GHz,4,500GB HDD,Intel HD Graphics 520,3974724.0,49,25,42
AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5 M420,3583476.0,14,9,19
Intel Core i5 8250U 1.6GHz,4,256GB SSD,Nvidia GeForce MX150,7158060.0,76,16,90
Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,6473376.0,76,16,5
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia GeForce GTX 1050 Ti,9594468.0,94,16,69
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,3094416.0,35,9,38
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,15996708.0,94,17,72
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,3232330.92,103,9,39
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9429877.08,94,4,68
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,7593768.0,76,16,90
Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,6704568.0,76,25,55
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,11995308.0,68,16,48
Intel Core i5 7200U 2.5GHz,6,2TB HDD,AMD Radeon 520,6215508.0,68,21,5
AMD A6-Series 9220 2.9GHz,4,500GB HDD,AMD Radeon R4 Graphics,2747628.0,10,25,15
Intel Core i3 7100U 2.4GHz,4,500GB HDD,Intel HD Graphics 620,4348188.0,53,25,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX,8207316.0,76,16,63
Intel Core i3 7100U 2.4GHz,8,1TB HDD,Intel HD Graphics 620,4081428.0,53,9,48
Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,3992508.0,50,3,42
Intel Core i7 6920HQ 2.9GHz,32,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,24888708.0,87,29,56
Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,7229196.0,68,4,3
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,13329108.0,76,16,55
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,9327708.0,98,19,6
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,12439908.0,76,16,55
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,16441308.0,98,28,55
Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,7051356.0,68,3,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,10661508.0,76,16,90
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 150MX,13773708.0,98,28,57
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,21314124.0,94,28,68
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,6926868.0,70,16,68
Intel Core i5 7Y54 1.2GHz,8,256GB SSD,Intel HD Graphics 615,8794188.0,74,16,47
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,9647820.0,98,4,6
Intel Core i7 7500U 2.7GHz,16,1TB SSD,Intel HD Graphics 620,25111008.0,89,12,48
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,2311920.0,35,22,38
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce MX150,8891110.8,68,16,90
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,6206616.0,76,16,90
Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,7460388.0,98,9,55
Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,8127288.0,76,9,63
Intel Core i7 7820HK 2.9GHz,32,1TB SSD,Nvidia GeForce GTX 1080,54232308.0,95,12,75
Intel Core i5 8250U 1.6GHz,8,512GB SSD,Intel UHD Graphics 620,8527428.0,76,28,55
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,12262068.0,94,17,68
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 930MX ,9292140.0,98,16,64
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,16405740.0,94,29,72
Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,4383756.0,62,3,42
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 940MX,6597864.0,89,9,66
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,15552108.0,94,29,72
Intel Xeon E3-1505M V6 3GHz,16,256GB SSD +  1TB HDD,Nvidia Quadro M1200,27165060.0,104,17,92
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1060,12431016.0,94,28,72
Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,3903588.0,53,9,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,17330508.0,98,16,55
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,12884508.0,98,16,55
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,5308524.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,6926868.0,94,9,68
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,12511044.0,94,17,68
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,3103308.0,50,25,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,4881708.0,68,16,48
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,13329108.0,89,28,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,8286276.96,98,16,6
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 940MX,5237388.0,68,9,78
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 930MX,9167652.0,98,16,63
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,10216908.0,76,16,55
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,11372868.0,98,28,55
Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,6022996.2,76,16,5
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,7993908.0,76,16,55
Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,12119796.0,81,16,42
Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,7060248.0,76,9,55
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,21841775.28,94,17,72
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,7398144.0,89,16,66
Intel Core i7 7500U 2.7GHz,16,1TB HDD,AMD Radeon R7 M445,7638316.92,89,9,26
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 920MX ,6837948.0,68,16,61
Intel Core i5 7200U 2.5GHz,8,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,7922772.0,68,20,79
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD FirePro W4190M ,11283948.0,89,9,1
Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,3547819.08,53,9,48
AMD E-Series 9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,2934360.0,18,25,11
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,13329108.0,94,17,72
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,7638228.0,68,16,48
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,6126588.0,62,16,42
Intel Core i7 7500U 2.7GHz,16,256GB SSD,AMD Radeon R7 M445,7993908.0,89,16,26
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3467880.0,50,9,42
AMD A10-Series A10-9620P 2.5GHz,4,128GB SSD +  1TB HDD,AMD Radeon R5 M430,5112900.0,3,4,21
Intel Core i7 7820HK 2.9GHz,32,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,34589880.0,95,29,75
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,7522632.0,70,16,68
Intel Core i3 6006U 2GHz,8,128GB SSD,Intel HD Graphics 520,5237388.0,50,3,42
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 150MX,10181340.0,98,4,57
Intel Core i7 7500U 2.7GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,7904988.0,89,4,79
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,7816068.0,70,16,68
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,9594468.0,89,16,48
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  2TB HDD,AMD Radeon 530,8758620.0,98,5,6
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,4970628.0,68,9,48
Intel Core i7 7820HK 2.9GHz,16,256GB SSD,Nvidia GeForce GTX 1080,26667108.0,95,16,75
Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,6002100.0,76,25,55
Intel Core i5 3.1GHz,8,512GB SSD,Intel Iris Plus Graphics 650,18139680.0,61,28,53
Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,7282548.0,98,9,55
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,15996708.0,94,17,85
AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5 M420,4170348.0,14,9,19
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,16441308.0,98,28,55
